Name,Rank,Journal Impact Factor,JIF Quartile,Category Normalized Citation Impact,ISSN,eISSN,Publisher (unified),Eigenfactor,WoS Categories,5 Year Impact Factor,JIF Rank,Publisher (all)
ENDOCRINE PATHOLOGY,3416,4.056,Q2,1.257380567,1046-3976,1559-0097,Springer Nature (Unified),0.0019,ENDOCRINOLOGY & METABOLISM;PATHOLOGY,3.974,27/77,HUMANA PRESS INC
ACTA PAEDIATRICA,3416,4.056,Q1,1.043003446,0803-5253,1651-2227,Wiley (Unified),0.0136,PEDIATRICS,3.44,22/130,WILEY
FRONTIERS IN ASTRONOMY AND SPACE SCIENCES,3418,4.055,Q2,0.476843315,2296-987X,2296-987X,,0.0033,ASTRONOMY & ASTROPHYSICS,3.312,22/69,FRONTIERS MEDIA SA
WEST EUROPEAN POLITICS,3418,4.055,Q1,3.131671852,0140-2382,1743-9655,Taylor & Francis (Unified),0.0078,POLITICAL SCIENCE,4.271,30/187,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
MOLECULAR PHARMACOLOGY,3420,4.054,Q2,1.108380806,0026-895X,1521-0111,,0.0069,BIOCHEMISTRY & MOLECULAR BIOLOGY;PHARMACOLOGY & PHARMACY,4.769,112/279,AMER SOC PHARMACOLOGY EXPERIMENTAL THERAPEUTICS
SAUDI JOURNAL OF BIOLOGICAL SCIENCES,3421,4.052,Q2,1.064808617,1319-562X,2213-7106,Elsevier (Unified),0.0076,BIOLOGY,4.247,25/94,ELSEVIER
WAVES IN RANDOM AND COMPLEX MEDIA,3422,4.051,Q2,1.060396793,1745-5030,1745-5049,Taylor & Francis (Unified),0.0018,"PHYSICS, MULTIDISCIPLINARY",3.784,24/86,TAYLOR & FRANCIS LTD
CELL AND TISSUE RESEARCH,3422,4.051,Q3,0.502803113,0302-766X,1432-0878,Springer Nature (Unified),0.0103,CELL BIOLOGY,5.027,121/194,SPRINGER
MOLECULAR INFORMATICS,3424,4.05,Q1,0.942026269,1868-1743,1868-1751,Wiley (Unified),0.0023,"CHEMISTRY, MEDICINAL;COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS;MATHEMATICAL & COMPUTATIONAL BIOLOGY",3.741,13/57,WILEY-V C H VERLAG GMBH
BIOMASS CONVERSION AND BIOREFINERY,3424,4.05,Q2,0.563093154,2190-6815,2190-6823,Springer Nature (Unified),0.0037,"ENERGY & FUELS;ENGINEERING, CHEMICAL",4.103,57/142,SPRINGER HEIDELBERG
INTERNATIONAL JOURNAL OF SPORT AND EXERCISE PSYCHOLOGY,3426,4.048,Q2,1.222702646,1612-197X,1557-251X,Taylor & Francis (Unified),0.0018,"HOSPITALITY, LEISURE, SPORT & TOURISM;PSYCHOLOGY, APPLIED",3.621,31/83,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
TRANSLATIONAL PEDIATRICS,3427,4.047,Q1,0.733827473,2224-4336,2224-4344,,0.0023,PEDIATRICS,3.731,23/130,AME PUBL CO
PARASITES & VECTORS,3427,4.047,Q1,1.114930079,1756-3305,1756-3305,Springer Nature (Unified),0.0253,PARASITOLOGY;TROPICAL MEDICINE,4.223,3/24,BMC
SOFT MATTER,3429,4.046,Q2,0.718398666,1744-683X,1744-6848,,0.0395,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;PHYSICS, MULTIDISCIPLINARY;POLYMER SCIENCE",3.895,25/90,ROYAL SOC CHEMISTRY
JOURNAL OF COMPUTING IN HIGHER EDUCATION,3430,4.045,Q1,2.713330286,1042-1726,1867-1233,Springer Nature (Unified),0.0015,EDUCATION & EDUCATIONAL RESEARCH,4.748,45/267,SPRINGER
ASTROBIOLOGY,3430,4.045,Q2,1.111961842,1531-1074,1557-8070,,0.0058,"ASTRONOMY & ASTROPHYSICS;BIOLOGY;GEOSCIENCES, MULTIDISCIPLINARY",4.566,26/94,"MARY ANN LIEBERT, INC"
SAFETY AND HEALTH AT WORK,3430,4.045,Q2,0.898723782,2093-7911,2093-7997,Elsevier (Unified),0.0023,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.028,59/182,ELSEVIER
PSYCHOLOGY OF ADDICTIVE BEHAVIORS,3433,4.044,Q2,1.117424903,0893-164X,1939-1501,,0.0054,"PSYCHOLOGY;PSYCHOLOGY, MULTIDISCIPLINARY;SUBSTANCE ABUSE",4.847,38/147,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,3433,4.044,Q2,0.936219423,0301-9322,1879-3533,Elsevier (Unified),0.0092,MECHANICS,3.972,37/138,PERGAMON-ELSEVIER SCIENCE LTD
RAPID PROTOTYPING JOURNAL,3435,4.043,Q2,0.879781807,1355-2546,1758-7670,,0.0045,"ENGINEERING, MECHANICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY",5.013,36/137,EMERALD GROUP PUBLISHING LTD
JOURNAL OF MANAGERIAL PSYCHOLOGY,3435,4.043,Q2,0.867763801,0268-3946,1758-7778,,0.0024,"MANAGEMENT;PSYCHOLOGY, APPLIED",4.352,32/83,EMERALD GROUP PUBLISHING LTD
JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,3437,4.042,Q2,0.856355397,1751-6161,1878-0180,Elsevier (Unified),0.0163,"ENGINEERING, BIOMEDICAL;MATERIALS SCIENCE, BIOMATERIALS",4.437,48/98,ELSEVIER
DRUG AND ALCOHOL REVIEW,3437,4.042,Q2,1.047706703,0959-5236,1465-3362,Wiley (Unified),0.0053,SUBSTANCE ABUSE,3.817,15/37,WILEY
ARCHIVES OF CIVIL AND MECHANICAL ENGINEERING,3437,4.042,Q2,1.01650616,1644-9665,2083-3318,Springer Nature (Unified),0.0035,"ENGINEERING, CIVIL;ENGINEERING, MECHANICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY",4.257,37/137,SPRINGERNATURE
CONTEMPORARY ACCOUNTING RESEARCH,3440,4.041,Q2,1.453496205,0823-9150,1911-3846,Wiley (Unified),0.0085,"BUSINESS, FINANCE",5.046,29/111,WILEY
IMMUNOTHERAPY,3441,4.04,Q3,0.580670879,1750-743X,1750-7448,,0.005,IMMUNOLOGY,4.136,97/161,FUTURE MEDICINE LTD
IEEE CIRCUITS AND SYSTEMS MAGAZINE,3441,4.04,Q2,0.764213084,1531-636X,1558-0830,IEEE (Unified),6.00E-04,"ENGINEERING, ELECTRICAL & ELECTRONIC",4.029,91/276,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC
TRANSFUSION MEDICINE AND HEMOTHERAPY,3441,4.04,Q2,0.230620405,1660-3796,1660-3818,,0.0021,HEMATOLOGY;IMMUNOLOGY,3.617,37/78,KARGER
INTERNATIONAL JOURNAL OF CARDIOLOGY,3444,4.039,Q2,0.782649769,0167-5273,1874-1754,Elsevier (Unified),0.0498,CARDIAC & CARDIOVASCULAR SYSTEMS,3.998,60/143,ELSEVIER IRELAND LTD
EJSO,3445,4.037,Q1,1.175347539,0748-7983,1532-2157,Elsevier (Unified),0.0152,ONCOLOGY;SURGERY,4.533,41/211,ELSEVIER SCI LTD
RSC ADVANCES,3446,4.036,Q2,0.586880362,2046-2069,2046-2069,,0.1653,"CHEMISTRY, MULTIDISCIPLINARY",3.748,75/179,ROYAL SOC CHEMISTRY
JOURNAL OF NUMERICAL MATHEMATICS,3446,4.036,Q1,2.221407595,1570-2820,1569-3953,Walter De Gruyter (Unified),8.00E-04,"MATHEMATICS;MATHEMATICS, APPLIED",3.132,4/332,WALTER DE GRUYTER GMBH
CULTURAL DIVERSITY & ETHNIC MINORITY PSYCHOLOGY,3448,4.035,Q1,2.50377741,1099-9809,1939-0106,,0.0037,"ETHNIC STUDIES;PSYCHOLOGY, SOCIAL",4.539,1/18,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC
ENERGY SCIENCE & ENGINEERING,3448,4.035,Q3,0.517363614,2050-0505,2050-0505,Wiley (Unified),0.004,ENERGY & FUELS,4.155,74/119,WILEY
DEFENCE TECHNOLOGY,3448,4.035,Q2,1.327565889,2214-9147,2214-9147,,0.0023,"ENGINEERING, MULTIDISCIPLINARY",3.857,24/92,KEAI PUBLISHING LTD
CLINICAL COLORECTAL CANCER,3448,4.035,Q3,0.781269773,1533-0028,1938-0674,,0.0041,ONCOLOGY,4.336,133/245,"CIG MEDIA GROUP, LP"
JOURNAL OF MICROENCAPSULATION,3452,4.034,Q2,0.694347099,0265-2048,1464-5246,Taylor & Francis (Unified),0.0015,"CHEMISTRY, APPLIED;ENGINEERING, CHEMICAL;PHARMACOLOGY & PHARMACY",3.681,24/72,TAYLOR & FRANCIS LTD
FOOD AND ENVIRONMENTAL VIROLOGY,3452,4.034,Q2,0.712469672,1867-0334,1867-0342,Springer Nature (Unified),0.0014,ENVIRONMENTAL SCIENCES;FOOD SCIENCE & TECHNOLOGY;MICROBIOLOGY;VIROLOGY,4.049,52/143,SPRINGER
STRAHLENTHERAPIE UND ONKOLOGIE,3454,4.033,Q2,0.181675185,0179-7158,1439-099X,Springer Nature (Unified),0.0037,"ONCOLOGY;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.21,51/136,SPRINGER HEIDELBERG
ANNALS OF HEMATOLOGY,3455,4.03,Q2,0.498757015,0939-5555,1432-0584,Springer Nature (Unified),0.0107,HEMATOLOGY,3.605,38/78,SPRINGER
JOURNAL OF PLANT INTERACTIONS,3456,4.029,Q1,1.054802456,1742-9145,1742-9153,Taylor & Francis (Unified),0.0015,PLANT SCIENCES,5.124,51/238,TAYLOR & FRANCIS LTD
CHINESE JOURNAL OF CANCER RESEARCH,3457,4.026,Q3,0.824298615,1000-9604,1993-0631,,0.0027,ONCOLOGY,4.526,135/245,CHINESE JOURNAL CANCER RESEARCH CO
EPILEPSIA OPEN,3457,4.026,Q2,0.827819522,n/a,2470-9239,Wiley (Unified),0.0026,CLINICAL NEUROLOGY;NEUROSCIENCES,n/a,90/212,WILEY
AAPS PHARMSCITECH,3457,4.026,Q2,0.941203498,1530-9932,1530-9932,Springer Nature (Unified),0.0065,PHARMACOLOGY & PHARMACY,3.951,114/279,SPRINGER
REVIEWS ON ENVIRONMENTAL HEALTH,3460,4.022,Q2,0.416834783,0048-7554,2191-0308,Walter De Gruyter (Unified),0.0012,"ENVIRONMENTAL SCIENCES;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",3.457,87/210,WALTER DE GRUYTER GMBH
EXCLI JOURNAL,3460,4.022,Q2,0.724235632,1611-2156,1611-2156,,0.0028,BIOLOGY,4.606,27/94,EXCLI JOURNAL MANAGING OFFICE
LITHOS,3462,4.02,Q2,1.143346744,0024-4937,1872-6143,Elsevier (Unified),0.0218,GEOCHEMISTRY & GEOPHYSICS;MINERALOGY,4.808,8/30,ELSEVIER
TOXICOLOGY MECHANISMS AND METHODS,3463,4.019,Q2,0.685148077,1537-6516,1537-6524,Taylor & Francis (Unified),0.0017,TOXICOLOGY,3.135,34/94,TAYLOR & FRANCIS LTD
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,3463,4.019,Q1,1.22738922,0091-0562,1573-2770,Wiley (Unified),0.0044,"PSYCHOLOGY;PSYCHOLOGY, MULTIDISCIPLINARY;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SOCIAL WORK",4.231,3/43,WILEY
JOURNAL OF NONVERBAL BEHAVIOR,3463,4.019,Q2,0.806365926,0191-5886,1573-3653,Springer Nature (Unified),0.0014,"PSYCHOLOGY, SOCIAL",3.771,23/65,SPRINGER
BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,3463,4.019,Q2,0.832619218,0005-2736,1879-2642,Elsevier (Unified),0.0119,BIOCHEMISTRY & MOLECULAR BIOLOGY;BIOPHYSICS,4.739,26/72,ELSEVIER
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,3463,4.019,Q2,1.267330237,1364-503X,1471-2962,,0.0242,MULTIDISCIPLINARY SCIENCES,5.037,24/73,ROYAL SOC
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,3468,4.018,Q1,1.71063272,1058-0360,1558-9110,,0.0049,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY;LINGUISTICS;REHABILITATION,3.772,1/27,AMER SPEECH-LANGUAGE-HEARING ASSOC
STUDIES IN HIGHER EDUCATION,3469,4.017,Q1,2.633428629,0307-5079,1470-174X,Taylor & Francis (Unified),0.01,EDUCATION & EDUCATIONAL RESEARCH,4.536,46/267,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
JOURNAL OF SPORTS SCIENCE AND MEDICINE,3469,4.017,Q2,1.108159326,1303-2968,1303-2968,,0.0032,SPORT SCIENCES,3.844,23/87,JOURNAL SPORTS SCIENCE & MEDICINE
AQUACULTURE ECONOMICS & MANAGEMENT,3471,4.016,Q1,1.441334932,1365-7305,1551-8663,Taylor & Francis (Unified),8.00E-04,AGRICULTURAL ECONOMICS & POLICY;FISHERIES,3.985,7/54,TAYLOR & FRANCIS INC
STATISTICAL SCIENCE,3472,4.015,Q1,1.575200806,0883-4237,2168-8745,,0.0065,STATISTICS & PROBABILITY,5.011,13/125,INST MATHEMATICAL STATISTICS-IMS
POULTRY SCIENCE,3473,4.014,Q1,1.800947444,0032-5791,1525-3171,Elsevier (Unified),0.0146,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",4.192,7/62,ELSEVIER
PUBLIC ADMINISTRATION,3474,4.013,Q1,2.371042961,0033-3298,1467-9299,Wiley (Unified),0.005,POLITICAL SCIENCE;PUBLIC ADMINISTRATION,4.617,31/187,WILEY
JOURNAL OF PSYCHOLOGY,3474,4.013,Q2,0.807500913,0022-3980,1940-1019,Taylor & Francis (Unified),0.0022,"PSYCHOLOGY;PSYCHOLOGY, MULTIDISCIPLINARY",4.45,40/147,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
PROSTATE,3476,4.012,Q2,0.974878752,0270-4137,1097-0045,Wiley (Unified),0.0059,ENDOCRINOLOGY & METABOLISM;UROLOGY & NEPHROLOGY,3.817,29/90,WILEY
JOURNAL OF GEOGRAPHICAL SCIENCES,3476,4.012,Q2,1.106627748,1009-637X,1861-9568,,0.0037,"GEOGRAPHY, PHYSICAL",4.403,17/48,SCIENCE PRESS
EXPERT OPINION ON DRUG SAFETY,3478,4.011,Q2,0.659913253,1474-0338,1744-764X,Taylor & Francis (Unified),0.006,PHARMACOLOGY & PHARMACY,3.851,115/279,TAYLOR & FRANCIS LTD
COGNITION,3478,4.011,Q1,1.167394304,0010-0277,1873-7838,Elsevier (Unified),0.0218,"PSYCHOLOGY, EXPERIMENTAL",4.698,22/90,ELSEVIER
REVIEW OF ACCOUNTING STUDIES,3478,4.011,Q2,1.507433333,1380-6653,1573-7136,Springer Nature (Unified),0.0068,"BUSINESS, FINANCE",5.692,30/111,SPRINGER
PHYTOPATHOLOGY,3481,4.01,Q1,0.861831313,0031-949X,1943-7684,,0.0073,PLANT SCIENCES,4.457,52/238,AMER PHYTOPATHOLOGICAL SOC
CRYSTAL GROWTH & DESIGN,3481,4.01,Q1,1.053366667,1528-7483,1528-7505,,0.0248,"CHEMISTRY, MULTIDISCIPLINARY;CRYSTALLOGRAPHY;MATERIALS SCIENCE, MULTIDISCIPLINARY",4.101,5/26,AMER CHEMICAL SOC
STRUCTURES,3481,4.01,Q2,0.91645735,2352-0124,2352-0124,Elsevier (Unified),0.0058,"ENGINEERING, CIVIL",3.993,43/138,ELSEVIER SCIENCE INC
REPRODUCTIVE MEDICINE AND BIOLOGY,3484,4.009,Q1,0.82417457,1445-5781,1447-0578,Wiley (Unified),0.002,OBSTETRICS & GYNECOLOGY;REPRODUCTIVE BIOLOGY,n/a,21/85,WILEY
BUILDING SIMULATION,3485,4.008,Q2,0.773745035,1996-3599,1996-8744,,0.0029,CONSTRUCTION & BUILDING TECHNOLOGY;THERMODYNAMICS,4.075,18/63,TSINGHUA UNIV PRESS
ENVIRONMENTAL MICROBIOLOGY REPORTS,3486,4.006,Q2,0.608037901,1758-2229,1758-2229,Wiley (Unified),0.0037,ENVIRONMENTAL SCIENCES;MICROBIOLOGY,3.859,126/279,WILEY
JOURNAL OF FLOOD RISK MANAGEMENT,3487,4.005,Q2,0.909062955,1753-318X,1753-318X,Wiley (Unified),0.0027,ENVIRONMENTAL SCIENCES;WATER RESOURCES,4.234,30/100,WILEY
PHYTOCHEMISTRY,3488,4.004,Q1,0.85998786,0031-9422,1873-3700,Elsevier (Unified),0.0065,BIOCHEMISTRY & MOLECULAR BIOLOGY;PLANT SCIENCES,4.129,53/238,PERGAMON-ELSEVIER SCIENCE LTD
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,3489,4.003,Q2,0.637808539,1522-6514,1549-7879,Taylor & Francis (Unified),0.0038,ENVIRONMENTAL SCIENCES,3.968,128/279,TAYLOR & FRANCIS INC
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,3490,4,Q1,1.094548379,1067-151X,1940-5480,Lippincott Williams & Wilkins (Unified),0.0117,ORTHOPEDICS;SURGERY,4.264,42/211,LIPPINCOTT WILLIAMS & WILKINS
PROTEIN JOURNAL,3490,4,Q3,0.425122985,1572-3887,1875-8355,Springer Nature (Unified),0.0016,BIOCHEMISTRY & MOLECULAR BIOLOGY,2.856,162/296,SPRINGER
CALCIFIED TISSUE INTERNATIONAL,3490,4,Q3,0.825748764,0171-967X,1432-0827,Springer Nature (Unified),0.0056,ENDOCRINOLOGY & METABOLISM,4.227,77/146,SPRINGER
JOURNAL OF ELECTRONIC COMMERCE RESEARCH,3490,4,Q3,0.688587234,1526-6133,1938-9027,,5.00E-04,BUSINESS,3.723,99/154,CALIFORNIA STATE UNIV
JOURNAL OF VACATION MARKETING,3490,4,Q3,0.960284571,1356-7667,1479-1870,Sage (Unified),9.00E-04,"BUSINESS;HOSPITALITY, LEISURE, SPORT & TOURISM",3.827,29/57,SAGE PUBLICATIONS LTD
MYRMECOLOGICAL NEWS,3490,4,Q1,1.389068966,1994-4136,n/a,,0.001,ENTOMOLOGY,3.895,12/100,"OESTERREICHISCHE GESELL ENTOMOFAUNISTIK, C/O NATURHISTOR MUSEUM WIEN"
JOURNAL OF GENERAL PHYSIOLOGY,3490,4,Q2,1.101320565,0022-1295,1540-7748,,0.0053,PHYSIOLOGY,4.372,26/81,ROCKEFELLER UNIV PRESS
SYNTHETIC METALS,3490,4,Q2,0.729110345,0379-6779,0379-6779,Elsevier (Unified),0.0056,"MATERIALS SCIENCE, MULTIDISCIPLINARY;PHYSICS, CONDENSED MATTER;POLYMER SCIENCE",3.374,26/90,ELSEVIER SCIENCE SA
ACCOUNTING FORUM,3490,4,Q2,1.282013178,0155-9982,1467-6303,Taylor & Francis (Unified),7.00E-04,"BUSINESS, FINANCE",4.255,31/111,TAYLOR & FRANCIS LTD
EUROPEAN ADDICTION RESEARCH,3490,4,Q2,0.91633814,1022-6877,1421-9891,,0.0015,PSYCHIATRY;SUBSTANCE ABUSE,3.538,53/142,KARGER
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,3490,4,Q1,1.148420904,0008-4239,1744-9324,,0.0022,POLITICAL SCIENCE,2.543,32/187,CAMBRIDGE UNIV PRESS
INTERNATIONAL JOURNAL OF SMART AND NANO MATERIALS,3490,4,Q2,0.600505,1947-5411,1947-542X,Taylor & Francis (Unified),5.00E-04,"MATERIALS SCIENCE, MULTIDISCIPLINARY",3.839,156/345,TAYLOR & FRANCIS LTD
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,3502,3.995,Q3,0.769808768,0946-672X,1878-3252,Elsevier (Unified),0.0047,BIOCHEMISTRY & MOLECULAR BIOLOGY;ENDOCRINOLOGY & METABOLISM,4.001,78/146,ELSEVIER GMBH
MARINE CHEMISTRY,3503,3.994,Q1,0.93867638,0304-4203,1872-7581,Elsevier (Unified),0.0041,"CHEMISTRY, MULTIDISCIPLINARY;OCEANOGRAPHY",4.117,10/66,ELSEVIER
JOURNAL OF REPRODUCTIVE IMMUNOLOGY,3504,3.993,Q2,0.638808176,0165-0378,1872-7603,Elsevier (Unified),0.0027,IMMUNOLOGY;REPRODUCTIVE BIOLOGY,4.141,12/31,ELSEVIER IRELAND LTD
PALEOCEANOGRAPHY AND PALEOCLIMATOLOGY,3505,3.992,Q1,1.343164155,2572-4517,2572-4525,,0.0049,"GEOSCIENCES, MULTIDISCIPLINARY;OCEANOGRAPHY;PALEONTOLOGY",3.973,1/53,AMER GEOPHYSICAL UNION
DIAGNOSTICS,3505,3.992,Q2,0.868959104,2075-4418,2075-4418,,0.0102,"MEDICINE, GENERAL & INTERNAL",4.129,60/172,MDPI
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,3505,3.992,Q2,1.055511349,0275-5408,1475-1313,Wiley (Unified),0.0027,OPHTHALMOLOGY,3.946,17/61,WILEY
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,3508,3.989,Q1,1.393629667,1533-5399,1557-6051,,0.0016,"COMPUTER SCIENCE, INFORMATION SYSTEMS;COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.413,20/110,ASSOC COMPUTING MACHINERY
AEOLIAN RESEARCH,3509,3.988,Q2,0.985648561,1875-9637,2212-1684,Elsevier (Unified),0.0021,"GEOGRAPHY, PHYSICAL",4.249,18/48,ELSEVIER SCI LTD
ACTA OPHTHALMOLOGICA,3509,3.988,Q2,0.942329006,1755-375X,1755-3768,Wiley (Unified),0.0129,OPHTHALMOLOGY,4.129,18/61,WILEY
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,3509,3.988,Q2,0.833197481,1056-7895,1530-7921,Sage (Unified),0.0019,"MATERIALS SCIENCE, MULTIDISCIPLINARY;MECHANICS",3.616,38/138,SAGE PUBLICATIONS LTD
JUSTICE QUARTERLY,3512,3.985,Q1,2.331106422,0741-8825,1745-9109,Taylor & Francis (Unified),0.0041,CRIMINOLOGY & PENOLOGY,4.291,10/69,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
WESTERN JOURNAL OF EMERGENCY MEDICINE,3512,3.985,Q2,1.159289391,1936-900X,1936-9018,,0.0068,EMERGENCY MEDICINE,3.494,9/32,WESTJEM
FRONTIERS IN MATERIALS,3512,3.985,Q2,0.413235317,2296-8016,2296-8016,,0.0058,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.083,159/345,FRONTIERS MEDIA SA
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,3515,3.984,Q2,0.925997475,0144-6657,2044-8260,Wiley (Unified),0.0018,"PSYCHOLOGY, CLINICAL",4.436,43/130,WILEY
SUBSTANCE ABUSE,3515,3.984,Q2,0.864755659,0889-7077,1547-0164,Taylor & Francis (Unified),0.0046,SUBSTANCE ABUSE,4.033,17/37,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,3517,3.982,Q1,1.598001,2469-4452,2469-4460,Taylor & Francis (Unified),0.0091,GEOGRAPHY,4.557,19/85,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
PHYSICAL REVIEW MATERIALS,3518,3.98,Q2,0.67948227,2475-9953,2475-9953,,0.0279,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.069,160/345,AMER PHYSICAL SOC
EUROPEAN JOURNAL OF SPORT SCIENCE,3518,3.98,Q2,1.169952965,1746-1391,1536-7290,Taylor & Francis (Unified),0.0078,SPORT SCIENCES,4.118,24/87,TAYLOR & FRANCIS LTD
MOLECULAR MICROBIOLOGY,3520,3.979,Q3,0.724657316,0950-382X,1365-2958,Wiley (Unified),0.0142,BIOCHEMISTRY & MOLECULAR BIOLOGY;MICROBIOLOGY,4.157,70/136,WILEY
HEALTH CARE MANAGEMENT SCIENCE,3520,3.979,Q1,1.320233891,1386-9620,1572-9389,Springer Nature (Unified),0.0014,HEALTH POLICY & SERVICES,3.438,18/88,SPRINGER
NEUROTOXICITY RESEARCH,3522,3.978,Q2,0.814636445,1029-8428,1476-3524,Springer Nature (Unified),0.0041,NEUROSCIENCES,3.821,128/274,SPRINGER
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,3522,3.978,Q2,0.607222581,1536-2310,1557-8100,,0.002,BIOTECHNOLOGY & APPLIED MICROBIOLOGY;GENETICS & HEREDITY,3.462,74/175,"MARY ANN LIEBERT, INC"
JOURNAL OF RISK AND UNCERTAINTY,3524,3.977,Q1,1.194563478,0895-5646,1573-0476,Springer Nature (Unified),0.0019,"BUSINESS, FINANCE;ECONOMICS",3.651,85/379,SPRINGER
PANCREATOLOGY,3524,3.977,Q3,0.820196043,1424-3903,1424-3911,Elsevier (Unified),0.0082,GASTROENTEROLOGY & HEPATOLOGY,4.398,47/93,ELSEVIER
JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,3524,3.977,Q1,1.460649841,1523-908X,1522-7200,Taylor & Francis (Unified),0.0029,DEVELOPMENT STUDIES;ENVIRONMENTAL STUDIES;REGIONAL & URBAN PLANNING,4.585,10/42,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
JOURNAL OF FINANCIAL ECONOMETRICS,3527,3.976,Q1,1.032076744,1479-8409,1479-8417,Oxford University Press (Unified),0.0018,"BUSINESS, FINANCE;ECONOMICS",4.922,86/379,OXFORD UNIV PRESS
BIOSCIENCE REPORTS,3527,3.976,Q3,0.549192166,0144-8463,1573-4935,,0.0161,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,4.107,165/296,PORTLAND PRESS LTD
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,3529,3.975,Q2,1.38977495,0275-004X,1539-2864,Lippincott Williams & Wilkins (Unified),0.0158,OPHTHALMOLOGY,4.583,19/61,LIPPINCOTT WILLIAMS & WILKINS
CARDIOVASCULAR PATHOLOGY,3529,3.975,Q2,0.939751289,1054-8807,1879-1336,Elsevier (Unified),0.0023,CARDIAC & CARDIOVASCULAR SYSTEMS;PATHOLOGY,3.055,28/77,ELSEVIER SCIENCE INC
PSYCHOLOGY RESEARCH AND BEHAVIOR MANAGEMENT,3531,3.974,Q2,0.922639388,1179-1578,1179-1578,,0.0029,"PSYCHOLOGY, CLINICAL;PSYCHOLOGY, MULTIDISCIPLINARY",4.102,41/147,DOVE MEDICAL PRESS LTD
JOURNAL OF MOLECULAR EVOLUTION,3532,3.973,Q2,0.581276493,0022-2844,1432-1432,Springer Nature (Unified),0.0013,BIOCHEMISTRY & MOLECULAR BIOLOGY;EVOLUTIONARY BIOLOGY;GENETICS & HEREDITY,2.67,18/51,SPRINGER
CHEMICAL RESEARCH IN TOXICOLOGY,3532,3.973,Q2,0.912308117,0893-228X,1520-5010,,0.0072,"CHEMISTRY, MEDICINAL;CHEMISTRY, MULTIDISCIPLINARY;TOXICOLOGY",4.052,35/94,AMER CHEMICAL SOC
CURRENT TREATMENT OPTIONS IN NEUROLOGY,3534,3.972,Q2,0.558245736,1092-8480,1534-3138,,0.0024,CLINICAL NEUROLOGY,3.799,91/212,CURRENT MEDICINE GROUP
PEDIATRIC CRITICAL CARE MEDICINE,3535,3.971,Q1,0.868033014,1529-7535,1947-3893,Lippincott Williams & Wilkins (Unified),0.011,CRITICAL CARE MEDICINE;PEDIATRICS,4.249,24/130,LIPPINCOTT WILLIAMS & WILKINS
